version = 6
CPU 0 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
cpus=12
           zpool-31075 [011] 342012.085469: funcgraph_entry:                   |  zfsdev_open() {
           zpool-31075 [011] 342012.085471: funcgraph_entry:        0.758 us   |    zfsdev_minor_alloc();
           zpool-31075 [011] 342012.085472: funcgraph_entry:        1.218 us   |    zfs_onexit_init();
           zpool-31075 [011] 342012.085474: funcgraph_entry:        0.402 us   |    zfs_zevent_init();
           zpool-31075 [011] 342012.085474: funcgraph_exit:         6.594 us   |  }
           zpool-31075 [011] 342012.085498: funcgraph_entry:                   |  zfsdev_open() {
           zpool-31075 [011] 342012.085498: funcgraph_entry:        0.248 us   |    zfsdev_minor_alloc();
           zpool-31075 [011] 342012.085498: funcgraph_entry:        0.412 us   |    zfs_onexit_init();
           zpool-31075 [011] 342012.085499: funcgraph_entry:        0.292 us   |    zfs_zevent_init();
           zpool-31075 [011] 342012.085500: funcgraph_exit:         2.140 us   |  }
           zpool-31075 [001] 342012.380797: funcgraph_entry:                   |  zfsdev_ioctl() {
           zpool-31075 [001] 342012.380805: funcgraph_entry:        7.963 us   |    get_nvlist();
           zpool-31075 [001] 342012.380815: funcgraph_entry:        0.517 us   |    pool_status_check();
           zpool-31075 [001] 342012.380817: funcgraph_entry:        0.426 us   |    zfs_secpolicy_config();
           zpool-31075 [001] 342012.380819: funcgraph_entry:                   |    zfs_ioc_pool_create() {
           zpool-31075 [001] 342012.380819: funcgraph_entry:        9.202 us   |      get_nvlist();
           zpool-31075 [001] 342012.380829: funcgraph_entry:        2.963 us   |      get_nvlist();
           zpool-31075 [001] 342012.380834: funcgraph_entry:                   |      zfs_fill_zplprops_impl() {
           zpool-31075 [001] 342012.380837: funcgraph_entry:        0.800 us   |        zfs_get_zplprop();
           zpool-31075 [001] 342012.380839: funcgraph_entry:        0.596 us   |        zfs_get_zplprop();
           zpool-31075 [001] 342012.380840: funcgraph_entry:        0.573 us   |        zfs_get_zplprop();
           zpool-31075 [001] 342012.380842: funcgraph_exit:         7.423 us   |      }
           zpool-31075 [001] 342012.380842: funcgraph_entry:                   |      spa_create() {
           zpool-31075 [001] 342012.380843: funcgraph_entry:        1.544 us   |        spa_lookup();
           zpool-31075 [001] 342012.380846: funcgraph_entry:                   |        spa_add() {
           zpool-31075 [001] 342012.380848: funcgraph_entry:        0.560 us   |          bplist_create();
           zpool-31075 [001] 342012.380849: funcgraph_entry:        0.460 us   |          bplist_create();
           zpool-31075 [001] 342012.380850: funcgraph_entry:        0.450 us   |          bplist_create();
           zpool-31075 [001] 342012.380851: funcgraph_entry:        0.446 us   |          bplist_create();
           zpool-31075 [001] 342012.380853: funcgraph_entry:                   |          spa_stats_init() {
           zpool-31075 [001] 342012.380854: funcgraph_entry:        0.473 us   |            spa_name();
           zpool-31075 [001] 342012.380867: funcgraph_entry:        0.600 us   |            spa_name();
           zpool-31075 [001] 342012.380871: funcgraph_entry:        0.454 us   |            spa_name();
           zpool-31075 [001] 342012.380885: funcgraph_entry:        0.453 us   |            spa_name();
           zpool-31075 [001] 342012.380889: funcgraph_exit:       + 35.719 us  |          }
           zpool-31075 [001] 342012.380890: funcgraph_entry:        0.813 us   |          spa_strdup();
           zpool-31075 [001] 342012.380893: funcgraph_exit:       + 47.130 us  |        }
           zpool-31075 [001] 342012.380893: funcgraph_entry:                   |        spa_activate() {
           zpool-31075 [001] 342012.380894: funcgraph_entry:        0.803 us   |          metaslab_class_create();
           zpool-31075 [001] 342012.380895: funcgraph_entry:        0.716 us   |          metaslab_class_create();
           zpool-31075 [003] 342012.383725: funcgraph_entry:        2.772 us   |          txg_list_create();
           zpool-31075 [003] 342012.383728: funcgraph_exit:       ! 761.350 us |        }
           zpool-31075 [003] 342012.383729: funcgraph_entry:                   |        spa_prop_validate() {
           zpool-31075 [003] 342012.383738: funcgraph_entry:        0.947 us   |          zfeature_lookup_name();
           zpool-31075 [003] 342012.383742: funcgraph_entry:        0.607 us   |          zfeature_lookup_name();
           zpool-31075 [003] 342012.383746: funcgraph_entry:        0.689 us   |          zfeature_lookup_name();
           zpool-31075 [003] 342012.383747: funcgraph_exit:       + 18.335 us  |        }
           zpool-31075 [003] 342012.383749: funcgraph_entry:                   |        zio_root() {
           zpool-31075 [003] 342012.383750: funcgraph_entry:                   |          zio_null() {
           zpool-31075 [003] 342012.383750: funcgraph_entry:        3.655 us   |            zio_create();
           zpool-31075 [003] 342012.383755: funcgraph_exit:         5.094 us   |          }
           zpool-31075 [003] 342012.383755: funcgraph_exit:         6.767 us   |        }
           zpool-31075 [003] 342012.383756: funcgraph_entry:        2.186 us   |        spa_config_enter();
           zpool-31075 [003] 342012.383759: funcgraph_entry:                   |        spa_config_parse() {
           zpool-31075 [003] 342012.383759: funcgraph_entry:                   |          vdev_alloc() {
           zpool-31075 [003] 342012.383762: funcgraph_entry:                   |            vdev_alloc_common() {
           zpool-31075 [003] 342012.383764: funcgraph_entry:                   |              spa_generate_guid() {
           zpool-31075 [003] 342012.383764: funcgraph_entry:        5.202 us   |                spa_get_random();
           zpool-31075 [003] 342012.383770: funcgraph_entry:                   |                spa_guid_exists() {
           zpool-31075 [003] 342012.383770: funcgraph_entry:                   |                  spa_by_guid() {
           zpool-31075 [003] 342012.383771: funcgraph_entry:        0.573 us   |                    spa_guid();
           zpool-31075 [003] 342012.383772: funcgraph_exit:         2.129 us   |                  }
           zpool-31075 [003] 342012.383773: funcgraph_exit:         2.998 us   |                }
           zpool-31075 [003] 342012.383773: funcgraph_exit:         9.872 us   |              }
           zpool-31075 [003] 342012.383774: funcgraph_entry:                   |              spa_generate_guid() {
           zpool-31075 [003] 342012.383774: funcgraph_entry:        3.928 us   |                spa_get_random();
           zpool-31075 [003] 342012.383779: funcgraph_entry:                   |                spa_guid_exists() {
           zpool-31075 [003] 342012.383779: funcgraph_entry:                   |                  spa_by_guid() {
           zpool-31075 [003] 342012.383780: funcgraph_entry:        0.439 us   |                    spa_guid();
           zpool-31075 [003] 342012.383781: funcgraph_exit:         1.362 us   |                  }
           zpool-31075 [003] 342012.383781: funcgraph_exit:         2.249 us   |                }
           zpool-31075 [003] 342012.383782: funcgraph_exit:         7.656 us   |              }
           zpool-31075 [003] 342012.383782: funcgraph_entry:        0.730 us   |              space_map_create();
           zpool-31075 [003] 342012.383784: funcgraph_entry:        0.540 us   |              space_map_create();
           zpool-31075 [003] 342012.383785: funcgraph_entry:        0.476 us   |              space_map_create();
           zpool-31075 [003] 342012.383785: funcgraph_entry:        0.483 us   |              space_map_create();
           zpool-31075 [003] 342012.383786: funcgraph_entry:        0.466 us   |              txg_list_create();
           zpool-31075 [003] 342012.383787: funcgraph_entry:        0.480 us   |              txg_list_create();
           zpool-31075 [003] 342012.383789: funcgraph_entry:                   |              vdev_queue_init() {
           zpool-31075 [003] 342012.383790: funcgraph_entry:        1.199 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383791: funcgraph_entry:        0.697 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383793: funcgraph_entry:        0.584 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383794: funcgraph_entry:        0.593 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383795: funcgraph_entry:        0.636 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383796: funcgraph_entry:        0.589 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383797: funcgraph_entry:        0.586 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383799: funcgraph_entry:        0.706 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383800: funcgraph_entry:        0.587 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383801: funcgraph_entry:        0.560 us   |                zio_vdev_alloc();
