version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 7 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-5246  [006]   171.790747: funcgraph_entry:        4.218 us   |  zpl_show_options();
              dd-5247  [010]   171.791868: funcgraph_entry:                   |  zpl_lookup() {
              dd-5247  [010]   171.791871: funcgraph_entry:                   |    zfs_lookup() {
              dd-5247  [010]   171.791872: funcgraph_entry:        0.650 us   |      rrw_enter_read();
              dd-5247  [010]   171.791873: funcgraph_entry:                   |      zfs_zaccess() {
              dd-5247  [010]   171.791874: funcgraph_entry:        0.447 us   |        zfs_fuid_map_id();
              dd-5247  [010]   171.791875: funcgraph_entry:                   |        zfs_zaccess_common() {
              dd-5247  [010]   171.791876: funcgraph_entry:                   |          zfs_zaccess_aces_check() {
              dd-5247  [010]   171.791876: funcgraph_entry:        0.426 us   |            zfs_fuid_map_ids();
              dd-5247  [010]   171.791877: funcgraph_entry:                   |            zfs_acl_node_read.clone.1() {
              dd-5247  [010]   171.791878: funcgraph_entry:        0.537 us   |              zfs_znode_acl_version();
              dd-5247  [010]   171.791879: funcgraph_entry:                   |              sa_size() {
              dd-5247  [010]   171.791880: funcgraph_entry:        1.205 us   |                sa_attr_op();
              dd-5247  [010]   171.791881: funcgraph_exit:         2.226 us   |              }
              dd-5247  [010]   171.791882: funcgraph_entry:                   |              sa_lookup() {
              dd-5247  [010]   171.791883: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-5247  [010]   171.791883: funcgraph_entry:        0.763 us   |                  sa_attr_op();
              dd-5247  [010]   171.791884: funcgraph_exit:         1.599 us   |                }
              dd-5247  [010]   171.791885: funcgraph_exit:         2.633 us   |              }
              dd-5247  [010]   171.791885: funcgraph_entry:        1.879 us   |              zfs_acl_alloc();
              dd-5247  [010]   171.791888: funcgraph_entry:        1.140 us   |              zfs_acl_node_alloc();
              dd-5247  [010]   171.791889: funcgraph_entry:                   |              sa_lookup() {
              dd-5247  [010]   171.791890: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-5247  [010]   171.791890: funcgraph_entry:        0.520 us   |                  sa_attr_op();
              dd-5247  [010]   171.791891: funcgraph_exit:         1.460 us   |                }
              dd-5247  [010]   171.791891: funcgraph_exit:         2.369 us   |              }
              dd-5247  [010]   171.791892: funcgraph_exit:       + 14.690 us  |            }
              dd-5247  [010]   171.791893: funcgraph_entry:                   |            zfs_acl_next_ace() {
              dd-5247  [010]   171.791893: funcgraph_entry:        0.463 us   |              zfs_ace_fuid_size();
