version = 6
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 10 is empty
cpus=12
       trace-cmd-7239  [009]  1273.350549: funcgraph_entry:        4.058 us   |  zpl_show_options();
              dd-7240  [011]  1273.351617: funcgraph_entry:                   |  zpl_lookup() {
              dd-7240  [011]  1273.351619: funcgraph_entry:                   |    zfs_lookup() {
              dd-7240  [011]  1273.351620: funcgraph_entry:        0.672 us   |      rrw_enter_read();
              dd-7240  [011]  1273.351622: funcgraph_entry:                   |      zfs_zaccess() {
              dd-7240  [011]  1273.351623: funcgraph_entry:        0.430 us   |        zfs_fuid_map_id();
              dd-7240  [011]  1273.351624: funcgraph_entry:                   |        zfs_zaccess_common() {
              dd-7240  [011]  1273.351624: funcgraph_entry:                   |          zfs_zaccess_aces_check() {
              dd-7240  [011]  1273.351625: funcgraph_entry:        0.413 us   |            zfs_fuid_map_ids();
              dd-7240  [011]  1273.351626: funcgraph_entry:                   |            zfs_acl_node_read.clone.1() {
              dd-7240  [011]  1273.351626: funcgraph_entry:        0.482 us   |              zfs_znode_acl_version();
              dd-7240  [011]  1273.351628: funcgraph_entry:                   |              sa_size() {
              dd-7240  [011]  1273.351628: funcgraph_entry:        1.076 us   |                sa_attr_op();
              dd-7240  [011]  1273.351630: funcgraph_exit:         2.099 us   |              }
              dd-7240  [011]  1273.351630: funcgraph_entry:                   |              sa_lookup() {
              dd-7240  [011]  1273.351631: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-7240  [011]  1273.351631: funcgraph_entry:        0.750 us   |                  sa_attr_op();
              dd-7240  [011]  1273.351632: funcgraph_exit:         1.613 us   |                }
              dd-7240  [011]  1273.351633: funcgraph_exit:         2.618 us   |              }
              dd-7240  [011]  1273.351633: funcgraph_entry:        1.772 us   |              zfs_acl_alloc();
              dd-7240  [011]  1273.351636: funcgraph_entry:        1.072 us   |              zfs_acl_node_alloc();
              dd-7240  [011]  1273.351637: funcgraph_entry:                   |              sa_lookup() {
              dd-7240  [011]  1273.351638: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-7240  [011]  1273.351638: funcgraph_entry:        0.633 us   |                  sa_attr_op();
              dd-7240  [011]  1273.351639: funcgraph_exit:         1.516 us   |                }
              dd-7240  [011]  1273.351640: funcgraph_exit:         2.382 us   |              }
