version = 6
CPU 9 is empty
cpus=12
       trace-cmd-9782  [006]  2405.278874: funcgraph_entry:        4.015 us   |  zpl_show_options();
              dd-9783  [010]  2405.279885: funcgraph_entry:                   |  zpl_lookup() {
              dd-9783  [010]  2405.279887: funcgraph_entry:                   |    zfs_lookup() {
              dd-9783  [010]  2405.279888: funcgraph_entry:        0.780 us   |      rrw_enter_read();
              dd-9783  [010]  2405.279890: funcgraph_entry:                   |      zfs_zaccess() {
              dd-9783  [010]  2405.279891: funcgraph_entry:        0.410 us   |        zfs_fuid_map_id();
              dd-9783  [010]  2405.279892: funcgraph_entry:                   |        zfs_zaccess_common() {
              dd-9783  [010]  2405.279892: funcgraph_entry:                   |          zfs_zaccess_aces_check() {
              dd-9783  [010]  2405.279893: funcgraph_entry:        0.460 us   |            zfs_fuid_map_ids();
              dd-9783  [010]  2405.279894: funcgraph_entry:                   |            zfs_acl_node_read.clone.1() {
              dd-9783  [010]  2405.279894: funcgraph_entry:        0.454 us   |              zfs_znode_acl_version();
              dd-9783  [010]  2405.279896: funcgraph_entry:                   |              sa_size() {
              dd-9783  [010]  2405.279896: funcgraph_entry:        1.083 us   |                sa_attr_op();
              dd-9783  [010]  2405.279898: funcgraph_exit:         2.102 us   |              }
              dd-9783  [010]  2405.279898: funcgraph_entry:                   |              sa_lookup() {
              dd-9783  [010]  2405.279899: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-9783  [010]  2405.279899: funcgraph_entry:        0.833 us   |                  sa_attr_op();
              dd-9783  [010]  2405.279900: funcgraph_exit:         1.662 us   |                }
              dd-9783  [010]  2405.279901: funcgraph_exit:         2.598 us   |              }
              dd-9783  [010]  2405.279901: funcgraph_entry:        1.459 us   |              zfs_acl_alloc();
              dd-9783  [010]  2405.279913: funcgraph_entry:        1.347 us   |              zfs_acl_node_alloc();
              dd-9783  [010]  2405.279915: funcgraph_entry:                   |              sa_lookup() {
              dd-9783  [010]  2405.279916: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-9783  [010]  2405.279916: funcgraph_entry:        0.556 us   |                  sa_attr_op();
              dd-9783  [010]  2405.279917: funcgraph_exit:         1.389 us   |                }
              dd-9783  [010]  2405.279918: funcgraph_exit:         2.576 us   |              }
              dd-9783  [010]  2405.279918: funcgraph_exit:       + 24.334 us  |            }
              dd-9783  [010]  2405.279919: funcgraph_entry:                   |            zfs_acl_next_ace() {
              dd-9783  [010]  2405.279919: funcgraph_entry:        0.403 us   |              zfs_ace_fuid_size();
              dd-9783  [010]  2405.279920: funcgraph_entry:        0.416 us   |              zfs_ace_fuid_get_flags();
              dd-9783  [010]  2405.279921: funcgraph_entry:        0.410 us   |              zfs_ace_fuid_get_type();
              dd-9783  [010]  2405.279922: funcgraph_entry:        0.524 us   |              zfs_ace_fuid_get_mask();
              dd-9783  [010]  2405.279923: funcgraph_entry:        0.450 us   |              zfs_ace_fuid_get_who();
              dd-9783  [010]  2405.279924: funcgraph_exit:         5.268 us   |            }
              dd-9783  [010]  2405.279924: funcgraph_entry:        0.475 us   |            zfs_acl_valid_ace_type();
              dd-9783  [010]  2405.279926: funcgraph_exit:       + 33.307 us  |          }
              dd-9783  [010]  2405.279926: funcgraph_exit:       + 34.490 us  |        }
              dd-9783  [010]  2405.279926: funcgraph_exit:       + 36.459 us  |      }
              dd-9783  [010]  2405.279927: funcgraph_entry:                   |      zfs_dirlook() {
              dd-9783  [010]  2405.279928: funcgraph_entry:                   |        zfs_dirent_lock() {
              dd-9783  [010]  2405.279930: funcgraph_entry:                   |          zap_lookup() {
              dd-9783  [010]  2405.279930: funcgraph_entry:                   |            zap_lookup_norm() {
              dd-9783  [010]  2405.279931: funcgraph_entry:                   |              zap_lockdir() {
              dd-9783  [010]  2405.279931: funcgraph_entry:                   |                dmu_buf_hold() {
              dd-9783  [010]  2405.279932: funcgraph_entry:                   |                  dnode_hold() {
              dd-9783  [010]  2405.279932: funcgraph_entry:                   |                    dnode_hold_impl() {
              dd-9783  [010]  2405.279933: funcgraph_entry:        0.413 us   |                      dbuf_whichblock();
              dd-9783  [010]  2405.279934: funcgraph_entry:                   |                      dbuf_hold() {
              dd-9783  [010]  2405.279935: funcgraph_entry:                   |                        dbuf_hold_impl() {
              dd-9783  [010]  2405.279936: funcgraph_entry:                   |                          __dbuf_hold_impl() {
              dd-9783  [010]  2405.279937: funcgraph_entry:                   |                            dbuf_find() {
              dd-9783  [010]  2405.279937: funcgraph_entry:        0.750 us   |                              dbuf_hash();
              dd-9783  [010]  2405.279939: funcgraph_exit:         2.451 us   |                            }
              dd-9783  [010]  2405.279940: funcgraph_exit:         3.715 us   |                          }
              dd-9783  [010]  2405.279941: funcgraph_exit:         6.073 us   |                        }
              dd-9783  [010]  2405.279941: funcgraph_exit:         6.992 us   |                      }
              dd-9783  [010]  2405.279942: funcgraph_entry:        0.557 us   |                      RW_WRITE_HELD();
              dd-9783  [010]  2405.279943: funcgraph_entry:                   |                      dbuf_read() {
              dd-9783  [010]  2405.279944: funcgraph_entry:        0.617 us   |                        zrl_add();
              dd-9783  [010]  2405.279945: funcgraph_entry:        1.514 us   |                        dmu_zfetch();
              dd-9783  [010]  2405.279947: funcgraph_entry:        0.573 us   |                        RW_WRITE_HELD();
              dd-9783  [010]  2405.279948: funcgraph_entry:        0.410 us   |                        zrl_remove();
              dd-9783  [010]  2405.279949: funcgraph_exit:         6.143 us   |                      }
              dd-9783  [010]  2405.279950: funcgraph_entry:        0.510 us   |                      dmu_buf_get_user();
              dd-9783  [010]  2405.279951: funcgraph_entry:        0.587 us   |                      zrl_add();
              dd-9783  [010]  2405.279953: funcgraph_entry:        0.450 us   |                      zrl_remove();
              dd-9783  [010]  2405.279954: funcgraph_entry:                   |                      dmu_buf_rele() {
              dd-9783  [010]  2405.279954: funcgraph_entry:        0.594 us   |                        dbuf_rele_and_unlock();
              dd-9783  [010]  2405.279955: funcgraph_exit:         1.543 us   |                      }
              dd-9783  [010]  2405.279956: funcgraph_exit:       + 23.218 us  |                    }
              dd-9783  [010]  2405.279956: funcgraph_exit:       + 24.102 us  |                  }
              dd-9783  [010]  2405.279957: funcgraph_entry:        0.426 us   |                  dbuf_whichblock();
              dd-9783  [010]  2405.279958: funcgraph_entry:                   |                  dbuf_hold() {
              dd-9783  [010]  2405.279958: funcgraph_entry:                   |                    dbuf_hold_impl() {
              dd-9783  [010]  2405.279959: funcgraph_entry:                   |                      __dbuf_hold_impl() {
              dd-9783  [010]  2405.279959: funcgraph_entry:                   |                        dbuf_find() {
              dd-9783  [010]  2405.279960: funcgraph_entry:        0.649 us   |                          dbuf_hash();
              dd-9783  [010]  2405.279961: funcgraph_exit:         1.846 us   |                        }
              dd-9783  [010]  2405.279962: funcgraph_entry:        0.450 us   |                        dmu_buf_add_ref();
              dd-9783  [010]  2405.279963: funcgraph_entry:                   |                        dbuf_create() {
              dd-9783  [010]  2405.279965: funcgraph_entry:        0.426 us   |                          dbuf_hash();
              dd-9783  [010]  2405.279966: funcgraph_entry:        0.727 us   |                          arc_space_consume();
              dd-9783  [010]  2405.279967: funcgraph_exit:         4.338 us   |                        }
              dd-9783  [010]  2405.279968: funcgraph_entry:                   |                        dmu_buf_rele() {
              dd-9783  [010]  2405.279968: funcgraph_entry:        0.437 us   |                          dbuf_rele_and_unlock();
              dd-9783  [010]  2405.279969: funcgraph_exit:         1.290 us   |                        }
              dd-9783  [010]  2405.279970: funcgraph_exit:       + 10.765 us  |                      }
              dd-9783  [010]  2405.279970: funcgraph_exit:       + 12.004 us  |                    }
              dd-9783  [010]  2405.279970: funcgraph_exit:       + 12.950 us  |                  }
              dd-9783  [010]  2405.279971: funcgraph_entry:                   |                  dbuf_read() {
              dd-9783  [010]  2405.279971: funcgraph_entry:        0.422 us   |                    zrl_add();
              dd-9783  [010]  2405.279973: funcgraph_entry:                   |                    zio_root() {
              dd-9783  [010]  2405.279973: funcgraph_entry:                   |                      zio_null() {
              dd-9783  [010]  2405.279974: funcgraph_entry:        2.551 us   |                        zio_create();
              dd-9783  [010]  2405.279977: funcgraph_exit:         3.471 us   |                      }
              dd-9783  [010]  2405.279977: funcgraph_exit:         4.384 us   |                    }
              dd-9783  [010]  2405.279977: funcgraph_entry:        0.430 us   |                    zrl_add();
              dd-9783  [010]  2405.279979: funcgraph_entry:                   |                    dnode_block_freed() {
              dd-9783  [010]  2405.279979: funcgraph_entry:        0.516 us   |                      spa_get_dsl();
              dd-9783  [010]  2405.279981: funcgraph_exit:         2.433 us   |                    }
              dd-9783  [010]  2405.279981: funcgraph_entry:        0.407 us   |                    zrl_remove();
              dd-9783  [010]  2405.279982: funcgraph_entry:                   |                    dbuf_is_metadata() {
              dd-9783  [010]  2405.279983: funcgraph_entry:        0.417 us   |                      zrl_add();
              dd-9783  [010]  2405.279984: funcgraph_entry:        0.419 us   |                      zrl_remove();
              dd-9783  [010]  2405.279985: funcgraph_exit:         2.272 us   |                    }
              dd-9783  [010]  2405.279985: funcgraph_entry:        0.417 us   |                    dmu_buf_add_ref();
              dd-9783  [010]  2405.279986: funcgraph_entry:                   |                    arc_read() {
              dd-9783  [010]  2405.279987: funcgraph_entry:        0.520 us   |                      spa_load_guid();
              dd-9783  [010]  2405.279988: funcgraph_entry:        2.256 us   |                      buf_hash_find();
              dd-9783  [010]  2405.279991: funcgraph_entry:        0.990 us   |                      add_reference();
              dd-9783  [010]  2405.279993: funcgraph_entry:                   |                      arc_get_data_buf() {
              dd-9783  [010]  2405.279994: funcgraph_entry:        0.789 us   |                        zio_buf_alloc();
              dd-9783  [010]  2405.279996: funcgraph_entry:        0.597 us   |                        arc_space_consume();
              dd-9783  [010]  2405.279997: funcgraph_exit:         3.608 us   |                      }
              dd-9783  [010]  2405.279997: funcgraph_entry:                   |                      arc_access() {
              dd-9783  [010]  2405.279998: funcgraph_entry:        0.630 us   |                        arc_change_state();
              dd-9783  [010]  2405.279999: funcgraph_exit:         1.852 us   |                      }
              dd-9783  [010]  2405.280000: funcgraph_entry:                   |                      zio_read() {
              dd-9783  [010]  2405.280000: funcgraph_entry:                   |                        zio_create() {
              dd-9783  [010]  2405.280001: funcgraph_entry:        1.016 us   |                          zio_add_child();
              dd-9783  [010]  2405.280003: funcgraph_exit:         2.461 us   |                        }
              dd-9783  [010]  2405.280003: funcgraph_exit:         3.368 us   |                      }
              dd-9783  [010]  2405.280004: funcgraph_entry:                   |                      zio_nowait() {
              dd-9783  [010]  2405.280004: funcgraph_entry:                   |                        zio_unique_parent() {
              dd-9783  [010]  2405.280005: funcgraph_entry:        0.443 us   |                          zio_walk_parents();
              dd-9783  [010]  2405.280006: funcgraph_entry:        0.950 us   |                          zio_walk_parents();
              dd-9783  [010]  2405.280007: funcgraph_exit:         2.701 us   |                        }
              dd-9783  [010]  2405.280007: funcgraph_entry:        0.420 us   |                        spa_get_dsl();
              dd-9783  [010]  2405.280009: funcgraph_entry:        0.415 us   |                        spa_is_initializing();
              dd-9783  [010]  2405.280010: funcgraph_entry:        0.500 us   |                        zio_read_bp_init();
              dd-9783  [010]  2405.280011: funcgraph_entry:        0.417 us   |                        spa_get_dsl();
              dd-9783  [010]  2405.280012: funcgraph_entry:        0.427 us   |                        spa_is_initializing();
              dd-9783  [010]  2405.280013: funcgraph_entry:                   |                        zio_ready() {
              dd-9783  [010]  2405.280013: funcgraph_entry:        0.483 us   |                          zio_wait_for_children();
              dd-9783  [010]  2405.280014: funcgraph_entry:        0.443 us   |                          zio_wait_for_children();
              dd-9783  [010]  2405.280015: funcgraph_entry:        0.447 us   |                          zio_walk_parents();
              dd-9783  [010]  2405.280016: funcgraph_entry:        0.443 us   |                          zio_walk_parents();
              dd-9783  [010]  2405.280017: funcgraph_exit:         4.341 us   |                        }
              dd-9783  [010]  2405.280018: funcgraph_entry:        0.413 us   |                        spa_get_dsl();
              dd-9783  [010]  2405.280019: funcgraph_entry:        3.881 us   |                        zio_taskq_member();
              dd-9783  [010]  2405.280023: funcgraph_entry:        0.406 us   |                        spa_is_initializing();
              dd-9783  [010]  2405.280024: funcgraph_entry:                   |                        zio_vdev_io_start() {
              dd-9783  [010]  2405.280025: funcgraph_entry:        0.909 us   |                          spa_config_enter();
              dd-9783  [010]  2405.280026: funcgraph_entry:                   |                          vdev_mirror_io_start() {
              dd-9783  [010]  2405.280027: funcgraph_entry:                   |                            vdev_mirror_map_alloc() {
              dd-9783  [010]  2405.280028: funcgraph_entry:        5.128 us   |                              spa_get_random();
              dd-9783  [010]  2405.280033: funcgraph_entry:        0.570 us   |                              vdev_lookup_top();
              dd-9783  [010]  2405.280034: funcgraph_entry:        0.420 us   |                              vdev_lookup_top();
              dd-9783  [010]  2405.280035: funcgraph_exit:         8.599 us   |                            }
              dd-9783  [010]  2405.280036: funcgraph_entry:                   |                            vdev_mirror_child_select() {
              dd-9783  [010]  2405.280036: funcgraph_entry:        0.843 us   |                              vdev_readable();
              dd-9783  [010]  2405.280038: funcgraph_entry:        0.634 us   |                              vdev_dtl_contains();
              dd-9783  [010]  2405.280039: funcgraph_exit:         2.989 us   |                            }
              dd-9783  [010]  2405.280039: funcgraph_entry:                   |                            zio_vdev_child_io() {
              dd-9783  [010]  2405.280040: funcgraph_entry:                   |                              zio_create() {
              dd-9783  [010]  2405.280041: funcgraph_entry:        0.829 us   |                                zio_add_child();
              dd-9783  [010]  2405.280042: funcgraph_exit:         2.212 us   |                              }
              dd-9783  [010]  2405.280043: funcgraph_exit:         3.308 us   |                            }
              dd-9783  [010]  2405.280043: funcgraph_entry:                   |                            zio_nowait() {
              dd-9783  [010]  2405.280043: funcgraph_entry:        0.416 us   |                              spa_get_dsl();
              dd-9783  [010]  2405.280044: funcgraph_entry:        0.413 us   |                              spa_is_initializing();
              dd-9783  [010]  2405.280045: funcgraph_entry:                   |                              zio_vdev_io_start() {
              dd-9783  [010]  2405.280046: funcgraph_entry:        0.493 us   |                                spa_syncing_txg();
              dd-9783  [010]  2405.280047: funcgraph_entry:        1.059 us   |                                zio_buf_alloc();
              dd-9783  [010]  2405.280048: funcgraph_entry:        0.640 us   |                                zio_push_transform();
              dd-9783  [010]  2405.280050: funcgraph_entry:                   |                                vdev_tier_io_start() {
              dd-9783  [010]  2405.280050: funcgraph_entry:                   |                                  vdev_tier_map_alloc() {
              dd-9783  [010]  2405.280051: funcgraph_entry:        0.529 us   |                                    vdev_readable();
              dd-9783  [010]  2405.280052: funcgraph_entry:        0.523 us   |                                    vdev_readable();
              dd-9783  [010]  2405.280054: funcgraph_exit:         3.844 us   |                                  }
              dd-9783  [010]  2405.280055: funcgraph_entry:                   |                                  vdev_tier_child_select() {
              dd-9783  [010]  2405.280055: funcgraph_entry:        0.410 us   |                                    vdev_readable();
              dd-9783  [010]  2405.280056: funcgraph_entry:        0.633 us   |                                    vdev_dtl_contains();
              dd-9783  [010]  2405.280057: funcgraph_exit:         2.402 us   |                                  }
              dd-9783  [010]  2405.280058: funcgraph_entry:                   |                                  zio_vdev_child_io() {
              dd-9783  [010]  2405.280058: funcgraph_entry:                   |                                    zio_create() {
              dd-9783  [010]  2405.280059: funcgraph_entry:        0.680 us   |                                      zio_add_child();
              dd-9783  [010]  2405.280060: funcgraph_exit:         1.999 us   |                                    }
              dd-9783  [010]  2405.280061: funcgraph_exit:         3.281 us   |                                  }
              dd-9783  [010]  2405.280061: funcgraph_entry:                   |                                  zio_nowait() {
              dd-9783  [010]  2405.280062: funcgraph_entry:        0.419 us   |                                    spa_get_dsl();
              dd-9783  [010]  2405.280063: funcgraph_entry:        0.413 us   |                                    spa_is_initializing();
              dd-9783  [010]  2405.280064: funcgraph_entry:                   |                                    zio_vdev_io_start() {
              dd-9783  [010]  2405.280064: funcgraph_entry:        1.507 us   |                                      vdev_cache_read();
              dd-9783  [010]  2405.280066: funcgraph_entry:                   |                                      vdev_queue_io() {
              dd-9783  [010]  2405.280068: funcgraph_entry:                   |                                        vdev_queue_io_to_issue() {
              dd-9783  [010]  2405.280069: funcgraph_entry:        0.910 us   |                                          zio_buf_alloc();
              dd-9783  [010]  2405.280070: funcgraph_entry:        0.423 us   |                                          vdev_queue_timestamp_compare();
              dd-9783  [010]  2405.280071: funcgraph_entry:        0.872 us   |                                          zio_buf_free();
              dd-9783  [010]  2405.280073: funcgraph_entry:        1.047 us   |                                          vdev_queue_io_remove();
              dd-9783  [010]  2405.280075: funcgraph_exit:         6.457 us   |                                        }
              dd-9783  [010]  2405.280075: funcgraph_exit:         8.872 us   |                                      }
              dd-9783  [010]  2405.280076: funcgraph_entry:        0.643 us   |                                      vdev_accessible();
              dd-9783  [010]  2405.280077: funcgraph_entry:                   |                                      vdev_disk_io_start() {
              dd-9783  [010]  2405.280078: funcgraph_entry:                   |                                        __vdev_disk_physio() {
              dd-9783  [010]  2405.280109: funcgraph_entry:        0.772 us   |                                          vdev_disk_dio_put();
              dd-9783  [010]  2405.280110: funcgraph_exit:       + 32.071 us  |                                        }
              dd-9783  [010]  2405.280110: funcgraph_exit:       + 33.117 us  |                                      }
              dd-9783  [010]  2405.280111: funcgraph_exit:       + 46.870 us  |                                    }
              dd-9783  [010]  2405.280111: funcgraph_exit:       + 49.902 us  |                                  }
              dd-9783  [010]  2405.280114: funcgraph_exit:       + 64.335 us  |                                }
              dd-9783  [010]  2405.280115: funcgraph_exit:       + 69.349 us  |                              }
              dd-9783  [010]  2405.280115: funcgraph_entry:        0.419 us   |                              spa_get_dsl();
              dd-9783  [010]  2405.280116: funcgraph_entry:        0.410 us   |                              spa_is_initializing();
              dd-9783  [010]  2405.280117: funcgraph_entry:                   |                              zio_vdev_io_done() {
              dd-9783  [010]  2405.280117: funcgraph_entry:        0.470 us   |                                zio_wait_for_children();
              dd-9783  [010]  2405.280118: funcgraph_exit:         1.429 us   |                              }
              dd-9783  [010]  2405.280119: funcgraph_exit:       + 75.600 us  |                            }
              dd-9783  [010]  2405.280119: funcgraph_exit:       + 92.815 us  |                          }
              dd-9783  [010]  2405.280120: funcgraph_exit:       + 95.639 us  |                        }
              dd-9783  [010]  2405.280120: funcgraph_entry:        0.414 us   |                        spa_get_dsl();
              dd-9783  [010]  2405.280121: funcgraph_entry:        0.416 us   |                        spa_is_initializing();
              dd-9783  [010]  2405.280122: funcgraph_entry:                   |                        zio_vdev_io_done() {
              dd-9783  [010]  2405.280122: funcgraph_entry:        0.444 us   |                          zio_wait_for_children();
              dd-9783  [010]  2405.280123: funcgraph_exit:         1.304 us   |                        }
              dd-9783  [010]  2405.280123: funcgraph_exit:       ! 119.907 us |                      }
              dd-9783  [010]  2405.280124: funcgraph_entry:        0.630 us   |                      spa_read_history_add();
              dd-9783  [010]  2405.280125: funcgraph_exit:       ! 138.949 us |                    }
              dd-9783  [010]  2405.280126: funcgraph_entry:        0.414 us   |                    zrl_remove();
              dd-9783  [010]  2405.280127: funcgraph_entry:                   |                    zio_wait() {
              dd-9783  [010]  2405.280127: funcgraph_entry:        0.412 us   |                      spa_get_dsl();
              dd-9783  [010]  2405.280128: funcgraph_entry:        0.413 us   |                      spa_is_initializing();
              dd-9783  [010]  2405.280129: funcgraph_entry:                   |                      zio_ready() {
              dd-9783  [010]  2405.280129: funcgraph_entry:        0.469 us   |                        zio_wait_for_children();
              dd-9783  [010]  2405.280130: funcgraph_entry:        0.446 us   |                        zio_wait_for_children();
              dd-9783  [010]  2405.280131: funcgraph_entry:        0.456 us   |                        zio_walk_parents();
              dd-9783  [010]  2405.280132: funcgraph_exit:         3.191 us   |                      }
              dd-9783  [010]  2405.280133: funcgraph_entry:        0.403 us   |                      spa_get_dsl();
              dd-9783  [010]  2405.280134: funcgraph_entry:        0.403 us   |                      spa_is_initializing();
              dd-9783  [010]  2405.280135: funcgraph_entry:                   |                      zio_done() {
              dd-9783  [010]  2405.280135: funcgraph_entry:        0.454 us   |                        zio_wait_for_children();
              dd-9783  [010]  2405.280136: funcgraph_entry:        0.440 us   |                        zio_wait_for_children();
              dd-9783  [010]  2405.280137: funcgraph_entry:        0.443 us   |                        zio_wait_for_children();
              dd-9783  [010]  2405.280138: funcgraph_entry:        0.469 us   |                        zio_wait_for_children();
              dd-9783  [010]  2405.280139: funcgraph_exit:         3.985 us   |                      }
          <idle>-0     [000]  2405.280195: funcgraph_entry:                   |  vdev_disk_physio_completion() {
          <idle>-0     [000]  2405.280197: funcgraph_entry:                   |    vdev_disk_dio_put() {
          <idle>-0     [000]  2405.280198: funcgraph_entry:        2.412 us   |      vdev_disk_dio_free();
          <idle>-0     [000]  2405.280201: funcgraph_entry:                   |      zio_interrupt() {
          <idle>-0     [000]  2405.280201: funcgraph_entry:                   |        zio_taskq_dispatch() {
          <idle>-0     [000]  2405.280202: funcgraph_entry:        4.718 us   |          spa_taskq_dispatch_ent();
          <idle>-0     [000]  2405.280207: funcgraph_exit:         5.921 us   |        }
          <idle>-0     [000]  2405.280208: funcgraph_exit:         6.849 us   |      }
          <idle>-0     [000]  2405.280208: funcgraph_exit:       + 11.280 us  |    }
          <idle>-0     [000]  2405.280209: funcgraph_exit:       + 14.146 us  |  }
      z_rd_int/6-9647  [000]  2405.280225: funcgraph_entry:                   |  zio_execute() {
      z_rd_int/6-9647  [000]  2405.280226: funcgraph_entry:        0.492 us   |    spa_get_dsl();
      z_rd_int/6-9647  [000]  2405.280227: funcgraph_entry:        0.413 us   |    spa_is_initializing();
      z_rd_int/6-9647  [000]  2405.280228: funcgraph_entry:                   |    zio_vdev_io_done() {
      z_rd_int/6-9647  [000]  2405.280229: funcgraph_entry:        0.663 us   |      zio_wait_for_children();
      z_rd_int/6-9647  [000]  2405.280230: funcgraph_entry:                   |      vdev_queue_io_done() {
      z_rd_int/6-9647  [000]  2405.280232: funcgraph_entry:        0.974 us   |        vdev_queue_io_to_issue();
      z_rd_int/6-9647  [000]  2405.280234: funcgraph_exit:         3.492 us   |      }
      z_rd_int/6-9647  [000]  2405.280234: funcgraph_entry:        0.433 us   |      vdev_disk_io_done();
      z_rd_int/6-9647  [000]  2405.280235: funcgraph_exit:         7.003 us   |    }
      z_rd_int/6-9647  [000]  2405.280235: funcgraph_entry:        0.410 us   |    spa_get_dsl();
      z_rd_int/6-9647  [000]  2405.280236: funcgraph_entry:        0.406 us   |    spa_is_initializing();
      z_rd_int/6-9647  [000]  2405.280237: funcgraph_entry:                   |    zio_vdev_io_assess() {
      z_rd_int/6-9647  [000]  2405.280238: funcgraph_entry:        0.439 us   |      zio_wait_for_children();
      z_rd_int/6-9647  [000]  2405.280239: funcgraph_exit:         1.432 us   |    }
      z_rd_int/6-9647  [000]  2405.280239: funcgraph_entry:        0.410 us   |    spa_get_dsl();
      z_rd_int/6-9647  [000]  2405.280240: funcgraph_entry:        0.405 us   |    spa_is_initializing();
      z_rd_int/6-9647  [000]  2405.280241: funcgraph_entry:                   |    zio_checksum_verify() {
      z_rd_int/6-9647  [000]  2405.280241: funcgraph_entry:        1.499 us   |      zio_checksum_error();
      z_rd_int/6-9647  [000]  2405.280243: funcgraph_exit:         2.512 us   |    }
      z_rd_int/6-9647  [000]  2405.280244: funcgraph_entry:        0.416 us   |    spa_get_dsl();
