version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 10 is empty
cpus=12
       trace-cmd-5125  [011]   127.834021: funcgraph_entry:        4.058 us   |  zpl_show_options();
           zpool-5126  [009]   127.836162: funcgraph_entry:                   |  zfsdev_open() {
           zpool-5126  [009]   127.836164: funcgraph_entry:        1.235 us   |    zfsdev_minor_alloc();
           zpool-5126  [009]   127.836166: funcgraph_entry:        1.759 us   |    zfs_onexit_init();
           zpool-5126  [009]   127.836168: funcgraph_entry:        0.802 us   |    zfs_zevent_init();
           zpool-5126  [009]   127.836169: funcgraph_exit:         8.583 us   |  }
           zpool-5126  [009]   127.836209: funcgraph_entry:                   |  zfsdev_open() {
           zpool-5126  [009]   127.836209: funcgraph_entry:        0.513 us   |    zfsdev_minor_alloc();
           zpool-5126  [009]   127.836211: funcgraph_entry:        0.627 us   |    zfs_onexit_init();
           zpool-5126  [009]   127.836212: funcgraph_entry:        0.573 us   |    zfs_zevent_init();
           zpool-5126  [009]   127.836213: funcgraph_exit:         4.082 us   |  }
           zpool-5126  [007]   127.982073: funcgraph_entry:                   |  zfsdev_ioctl() {
           zpool-5126  [007]   127.982082: funcgraph_entry:        0.660 us   |    pool_status_check();
           zpool-5126  [007]   127.982083: funcgraph_entry:        0.443 us   |    zfs_secpolicy_read();
           zpool-5126  [007]   127.982086: funcgraph_entry:                   |    zfs_ioc_pool_stats() {
           zpool-5126  [007]   127.982086: funcgraph_entry:                   |      spa_get_stats() {
           zpool-5126  [007]   127.982087: funcgraph_entry:                   |        spa_open_common() {
           zpool-5126  [007]   127.982088: funcgraph_entry:                   |          spa_lookup() {
           zpool-5126  [007]   127.982090: funcgraph_entry:        0.647 us   |            spa_name_compare();
           zpool-5126  [007]   127.982091: funcgraph_exit:         2.699 us   |          }
           zpool-5126  [007]   127.982091: funcgraph_entry:        0.523 us   |          spa_open_ref();
           zpool-5126  [007]   127.982092: funcgraph_entry:                   |          spa_config_generate() {
           zpool-5126  [007]   127.982093: funcgraph_entry:        0.957 us   |            spa_config_enter();
           zpool-5126  [007]   127.982095: funcgraph_entry:        0.409 us   |            spa_name();
           zpool-5126  [007]   127.982097: funcgraph_entry:        0.496 us   |            spa_version();
