version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-8375  [007]  1843.571684: funcgraph_entry:      + 17.685 us  |  zpl_show_options();
              dd-8376  [010]  1843.572674: funcgraph_entry:        2.465 us   |  zpl_revalidate();
              dd-8376  [010]  1843.572678: funcgraph_entry:                   |  zpl_open() {
              dd-8376  [010]  1843.572679: funcgraph_entry:                   |    zfs_open() {
              dd-8376  [010]  1843.572680: funcgraph_entry:        0.670 us   |      rrw_enter_read();
              dd-8376  [010]  1843.572681: funcgraph_entry:        0.830 us   |      rrw_exit();
              dd-8376  [010]  1843.572683: funcgraph_exit:         4.164 us   |    }
              dd-8376  [010]  1843.572684: funcgraph_exit:         5.993 us   |  }
              dd-8376  [010]  1843.572686: funcgraph_entry:                   |  zpl_setattr() {
              dd-8376  [010]  1843.572688: funcgraph_entry:                   |    zfs_setattr() {
              dd-8376  [010]  1843.572689: funcgraph_entry:        0.450 us   |      rrw_enter_read();
              dd-8376  [010]  1843.572691: funcgraph_entry:        0.426 us   |      zfs_is_readonly();
              dd-8376  [010]  1843.572692: funcgraph_entry:                   |      zfs_zaccess() {
              dd-8376  [010]  1843.572693: funcgraph_entry:        0.444 us   |        zfs_fuid_map_id();
              dd-8376  [010]  1843.572694: funcgraph_entry:                   |        zfs_zaccess_common() {
              dd-8376  [010]  1843.572694: funcgraph_entry:        0.450 us   |          zfs_is_readonly();
              dd-8376  [010]  1843.572695: funcgraph_entry:                   |          zfs_zaccess_aces_check() {
              dd-8376  [010]  1843.572696: funcgraph_entry:        0.440 us   |            zfs_fuid_map_ids();
              dd-8376  [010]  1843.572697: funcgraph_entry:        0.589 us   |            zfs_acl_node_read.clone.1();
              dd-8376  [010]  1843.572698: funcgraph_entry:                   |            zfs_acl_next_ace() {
              dd-8376  [010]  1843.572699: funcgraph_entry:        0.466 us   |              zfs_ace_fuid_size();
              dd-8376  [010]  1843.572700: funcgraph_entry:        0.407 us   |              zfs_ace_fuid_get_flags();
              dd-8376  [010]  1843.572701: funcgraph_entry:        0.413 us   |              zfs_ace_fuid_get_type();
              dd-8376  [010]  1843.572702: funcgraph_entry:        0.406 us   |              zfs_ace_fuid_get_mask();
              dd-8376  [010]  1843.572703: funcgraph_entry:        0.447 us   |              zfs_ace_fuid_get_who();
              dd-8376  [010]  1843.572704: funcgraph_exit:         5.370 us   |            }
              dd-8376  [010]  1843.572704: funcgraph_entry:        0.470 us   |            zfs_acl_valid_ace_type();
              dd-8376  [010]  1843.572705: funcgraph_exit:         9.719 us   |          }
              dd-8376  [010]  1843.572706: funcgraph_exit:       + 11.818 us  |        }
              dd-8376  [010]  1843.572706: funcgraph_exit:       + 13.889 us  |      }
              dd-8376  [010]  1843.572707: funcgraph_entry:                   |      zfs_freesp() {
              dd-8376  [010]  1843.572708: funcgraph_entry:                   |        sa_lookup() {
              dd-8376  [010]  1843.572709: funcgraph_entry:                   |          sa_lookup_impl() {
              dd-8376  [010]  1843.572709: funcgraph_entry:        0.976 us   |            sa_attr_op();
              dd-8376  [010]  1843.572711: funcgraph_exit:         1.956 us   |          }
              dd-8376  [010]  1843.572711: funcgraph_exit:         2.993 us   |        }
              dd-8376  [010]  1843.572712: funcgraph_entry:                   |        zfs_trunc() {
              dd-8376  [010]  1843.572713: funcgraph_entry:        1.892 us   |          zfs_range_lock();
              dd-8376  [010]  1843.572715: funcgraph_entry:                   |          dmu_free_long_range() {
              dd-8376  [010]  1843.572716: funcgraph_entry:                   |            dnode_hold() {
              dd-8376  [010]  1843.572716: funcgraph_entry:                   |              dnode_hold_impl() {
              dd-8376  [010]  1843.572717: funcgraph_entry:        0.450 us   |                dbuf_whichblock();
              dd-8376  [010]  1843.572718: funcgraph_entry:                   |                dbuf_hold() {
              dd-8376  [010]  1843.572719: funcgraph_entry:                   |                  dbuf_hold_impl() {
              dd-8376  [010]  1843.572720: funcgraph_entry:                   |                    __dbuf_hold_impl() {
              dd-8376  [010]  1843.572721: funcgraph_entry:                   |                      dbuf_find() {
              dd-8376  [010]  1843.572721: funcgraph_entry:        1.039 us   |                        dbuf_hash();
              dd-8376  [010]  1843.572724: funcgraph_exit:         2.942 us   |                      }
              dd-8376  [010]  1843.572724: funcgraph_exit:         4.254 us   |                    }
              dd-8376  [010]  1843.572725: funcgraph_exit:         6.823 us   |                  }
              dd-8376  [010]  1843.572726: funcgraph_exit:         7.731 us   |                }
              dd-8376  [010]  1843.572726: funcgraph_entry:        0.560 us   |                RW_WRITE_HELD();
              dd-8376  [010]  1843.572728: funcgraph_entry:                   |                dbuf_read() {
              dd-8376  [010]  1843.572728: funcgraph_entry:        0.610 us   |                  zrl_add();
              dd-8376  [010]  1843.572730: funcgraph_entry:        1.499 us   |                  dmu_zfetch();
              dd-8376  [010]  1843.572732: funcgraph_entry:        0.582 us   |                  RW_WRITE_HELD();
              dd-8376  [010]  1843.572733: funcgraph_entry:        0.407 us   |                  zrl_remove();
              dd-8376  [010]  1843.572734: funcgraph_exit:         6.080 us   |                }
              dd-8376  [010]  1843.572734: funcgraph_entry:        0.402 us   |                dmu_buf_get_user();
              dd-8376  [010]  1843.572735: funcgraph_entry:        0.547 us   |                zrl_add();
              dd-8376  [010]  1843.572736: funcgraph_entry:        0.423 us   |                zrl_remove();
              dd-8376  [010]  1843.572738: funcgraph_entry:                   |                dmu_buf_rele() {
              dd-8376  [010]  1843.572738: funcgraph_entry:        0.619 us   |                  dbuf_rele_and_unlock();
              dd-8376  [010]  1843.572739: funcgraph_exit:         1.679 us   |                }
              dd-8376  [010]  1843.572740: funcgraph_exit:       + 23.833 us  |              }
              dd-8376  [010]  1843.572740: funcgraph_exit:       + 24.734 us  |            }
              dd-8376  [010]  1843.572741: funcgraph_entry:                   |            dmu_tx_create() {
              dd-8376  [010]  1843.572742: funcgraph_entry:        1.239 us   |              dmu_tx_create_dd();
              dd-8376  [010]  1843.572743: funcgraph_entry:                   |              dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572744: funcgraph_entry:        0.519 us   |                spa_last_synced_txg();
              dd-8376  [010]  1843.572745: funcgraph_exit:         1.655 us   |              }
              dd-8376  [010]  1843.572746: funcgraph_exit:         4.431 us   |            }
              dd-8376  [010]  1843.572746: funcgraph_entry:                   |            dmu_tx_hold_free() {
              dd-8376  [010]  1843.572747: funcgraph_entry:                   |              dmu_tx_hold_object_impl() {
              dd-8376  [010]  1843.572747: funcgraph_entry:                   |                dnode_hold() {
              dd-8376  [010]  1843.572748: funcgraph_entry:                   |                  dnode_hold_impl() {
              dd-8376  [010]  1843.572748: funcgraph_entry:        0.416 us   |                    dbuf_whichblock();
              dd-8376  [010]  1843.572749: funcgraph_entry:                   |                    dbuf_hold() {
              dd-8376  [010]  1843.572749: funcgraph_entry:                   |                      dbuf_hold_impl() {
              dd-8376  [010]  1843.572750: funcgraph_entry:                   |                        __dbuf_hold_impl() {
              dd-8376  [010]  1843.572751: funcgraph_entry:                   |                          dbuf_find() {
              dd-8376  [010]  1843.572751: funcgraph_entry:        0.437 us   |                            dbuf_hash();
              dd-8376  [010]  1843.572752: funcgraph_exit:         1.369 us   |                          }
              dd-8376  [010]  1843.572752: funcgraph_exit:         2.236 us   |                        }
              dd-8376  [010]  1843.572753: funcgraph_exit:         3.415 us   |                      }
              dd-8376  [010]  1843.572753: funcgraph_exit:         4.231 us   |                    }
              dd-8376  [010]  1843.572754: funcgraph_entry:        0.583 us   |                    RW_WRITE_HELD();
              dd-8376  [010]  1843.572755: funcgraph_entry:                   |                    dbuf_read() {
              dd-8376  [010]  1843.572755: funcgraph_entry:        0.430 us   |                      zrl_add();
              dd-8376  [010]  1843.572756: funcgraph_entry:        0.676 us   |                      dmu_zfetch();
              dd-8376  [010]  1843.572757: funcgraph_entry:        0.530 us   |                      RW_WRITE_HELD();
              dd-8376  [010]  1843.572758: funcgraph_entry:        0.404 us   |                      zrl_remove();
              dd-8376  [010]  1843.572759: funcgraph_exit:         4.261 us   |                    }
              dd-8376  [010]  1843.572759: funcgraph_entry:        0.410 us   |                    dmu_buf_get_user();
              dd-8376  [010]  1843.572760: funcgraph_entry:        0.433 us   |                    zrl_add();
              dd-8376  [010]  1843.572761: funcgraph_entry:        0.420 us   |                    zrl_remove();
              dd-8376  [010]  1843.572762: funcgraph_entry:                   |                    dmu_buf_rele() {
              dd-8376  [010]  1843.572763: funcgraph_entry:        0.456 us   |                      dbuf_rele_and_unlock();
              dd-8376  [010]  1843.572763: funcgraph_exit:         1.299 us   |                    }
              dd-8376  [010]  1843.572764: funcgraph_exit:       + 16.149 us  |                  }
              dd-8376  [010]  1843.572764: funcgraph_exit:       + 16.962 us  |                }
              dd-8376  [010]  1843.572765: funcgraph_exit:       + 18.234 us  |              }
              dd-8376  [010]  1843.572766: funcgraph_entry:                   |              dmu_tx_count_dnode() {
              dd-8376  [010]  1843.572766: funcgraph_entry:                   |                dsl_dataset_block_freeable() {
              dd-8376  [010]  1843.572767: funcgraph_entry:                   |                  dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572767: funcgraph_entry:        0.413 us   |                    spa_last_synced_txg();
              dd-8376  [010]  1843.572768: funcgraph_exit:         1.239 us   |                  }
              dd-8376  [010]  1843.572769: funcgraph_entry:        0.686 us   |                  ddt_prefetch();
              dd-8376  [010]  1843.572770: funcgraph_exit:         3.295 us   |                }
              dd-8376  [010]  1843.572770: funcgraph_exit:         4.518 us   |              }
              dd-8376  [010]  1843.572771: funcgraph_entry:                   |              dmu_tx_count_dnode() {
              dd-8376  [010]  1843.572771: funcgraph_entry:                   |                dsl_dataset_block_freeable() {
              dd-8376  [010]  1843.572771: funcgraph_entry:                   |                  dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572772: funcgraph_entry:        0.416 us   |                    spa_last_synced_txg();
              dd-8376  [010]  1843.572773: funcgraph_exit:         1.243 us   |                  }
              dd-8376  [010]  1843.572773: funcgraph_entry:        0.409 us   |                  ddt_prefetch();
              dd-8376  [010]  1843.572774: funcgraph_exit:         2.895 us   |                }
              dd-8376  [010]  1843.572774: funcgraph_exit:         3.718 us   |              }
              dd-8376  [010]  1843.572776: funcgraph_entry:                   |              dsl_dataset_block_freeable() {
              dd-8376  [010]  1843.572776: funcgraph_entry:                   |                dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572776: funcgraph_entry:        0.420 us   |                  spa_last_synced_txg();
              dd-8376  [010]  1843.572777: funcgraph_exit:         1.240 us   |                }
              dd-8376  [010]  1843.572778: funcgraph_entry:        0.540 us   |                ddt_prefetch();
              dd-8376  [010]  1843.572779: funcgraph_exit:         3.166 us   |              }
              dd-8376  [010]  1843.572780: funcgraph_entry:                   |              bp_get_dsize() {
              dd-8376  [010]  1843.572780: funcgraph_entry:        0.844 us   |                spa_config_enter();
              dd-8376  [010]  1843.572782: funcgraph_entry:                   |                dva_get_dsize_sync() {
              dd-8376  [010]  1843.572782: funcgraph_entry:        0.764 us   |                  vdev_lookup_top();
              dd-8376  [010]  1843.572784: funcgraph_exit:         2.539 us   |                }
              dd-8376  [010]  1843.572785: funcgraph_entry:        0.433 us   |                dva_get_dsize_sync();
              dd-8376  [010]  1843.572785: funcgraph_entry:        0.419 us   |                dva_get_dsize_sync();
              dd-8376  [010]  1843.572786: funcgraph_entry:        0.653 us   |                spa_config_exit();
              dd-8376  [010]  1843.572787: funcgraph_exit:         8.236 us   |              }
              dd-8376  [010]  1843.572788: funcgraph_exit:       + 42.063 us  |            }
              dd-8376  [010]  1843.572789: funcgraph_entry:                   |            dmu_tx_assign() {
              dd-8376  [010]  1843.572789: funcgraph_entry:        0.616 us   |              spa_suspended();
              dd-8376  [010]  1843.572791: funcgraph_entry:        0.597 us   |              dsl_pool_need_dirty_delay();
              dd-8376  [010]  1843.572792: funcgraph_entry:        0.933 us   |              txg_hold_open();
              dd-8376  [010]  1843.572793: funcgraph_entry:                   |              dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572794: funcgraph_entry:        0.413 us   |                spa_last_synced_txg();
              dd-8376  [010]  1843.572794: funcgraph_exit:         1.286 us   |              }
              dd-8376  [010]  1843.572805: funcgraph_entry:        0.636 us   |              spa_get_asize();
              dd-8376  [010]  1843.572806: funcgraph_entry:        0.422 us   |              spa_get_asize();
              dd-8376  [010]  1843.572807: funcgraph_entry:        0.423 us   |              spa_get_asize();
              dd-8376  [010]  1843.572808: funcgraph_entry:                   |              dsl_dir_tempreserve_space() {
              dd-8376  [010]  1843.572808: funcgraph_entry:        0.863 us   |                arc_tempreserve_space();
              dd-8376  [010]  1843.572810: funcgraph_entry:                   |                dsl_dir_tempreserve_impl() {
              dd-8376  [010]  1843.572811: funcgraph_entry:        0.557 us   |                  dsl_dataset_check_quota();
              dd-8376  [010]  1843.572812: funcgraph_entry:                   |                  dsl_pool_adjustedsize() {
              dd-8376  [010]  1843.572812: funcgraph_entry:        0.496 us   |                    spa_get_dspace();
              dd-8376  [010]  1843.572813: funcgraph_exit:         1.336 us   |                  }
              dd-8376  [010]  1843.572814: funcgraph_entry:        0.512 us   |                  spa_normal_class();
              dd-8376  [010]  1843.572815: funcgraph_entry:        0.504 us   |                  metaslab_class_get_deferred();
              dd-8376  [010]  1843.572816: funcgraph_exit:         5.851 us   |                }
              dd-8376  [010]  1843.572816: funcgraph_exit:         8.831 us   |              }
              dd-8376  [010]  1843.572817: funcgraph_entry:        0.436 us   |              txg_rele_to_quiesce();
              dd-8376  [010]  1843.572818: funcgraph_exit:       + 28.803 us  |            }
              dd-8376  [010]  1843.572818: funcgraph_entry:                   |            dnode_free_range() {
              dd-8376  [010]  1843.572819: funcgraph_entry:        0.796 us   |              dnode_clear_range();
              dd-8376  [010]  1843.572821: funcgraph_entry:                   |              dbuf_free_range() {
              dd-8376  [010]  1843.572822: funcgraph_entry:        0.562 us   |                dmu_objset_is_receiving();
              dd-8376  [010]  1843.572824: funcgraph_entry:                   |                dbuf_clear() {
              dd-8376  [010]  1843.572824: funcgraph_entry:        0.569 us   |                  dbuf_evict_user();
              dd-8376  [010]  1843.572825: funcgraph_entry:        0.426 us   |                  zrl_add();
              dd-8376  [010]  1843.572826: funcgraph_entry:        0.423 us   |                  zrl_remove();
              dd-8376  [010]  1843.572827: funcgraph_entry:        0.500 us   |                  dnode_rele();
              dd-8376  [010]  1843.572828: funcgraph_entry:                   |                  arc_buf_evict() {
              dd-8376  [010]  1843.572830: funcgraph_entry:                   |                    arc_buf_destroy() {
              dd-8376  [010]  1843.572830: funcgraph_entry:        0.506 us   |                      arc_cksum_verify();
              dd-8376  [010]  1843.572832: funcgraph_entry:                   |                      arc_buf_data_free() {
              dd-8376  [010]  1843.572832: funcgraph_entry:        1.122 us   |                        zio_data_buf_free();
              dd-8376  [010]  1843.572834: funcgraph_exit:         2.126 us   |                      }
              dd-8376  [010]  1843.572834: funcgraph_entry:        0.739 us   |                      arc_space_return();
              dd-8376  [010]  1843.572835: funcgraph_exit:         5.394 us   |                    }
              dd-8376  [010]  1843.572836: funcgraph_entry:        0.813 us   |                    arc_change_state();
              dd-8376  [010]  1843.572838: funcgraph_entry:                   |                    dbuf_do_evict() {
              dd-8376  [010]  1843.572838: funcgraph_entry:                   |                      dbuf_destroy() {
              dd-8376  [010]  1843.572839: funcgraph_entry:        0.562 us   |                        dbuf_hash();
              dd-8376  [010]  1843.572840: funcgraph_entry:        0.582 us   |                        arc_space_return();
              dd-8376  [010]  1843.572841: funcgraph_exit:         3.265 us   |                      }
              dd-8376  [010]  1843.572842: funcgraph_exit:         4.201 us   |                    }
              dd-8376  [010]  1843.572843: funcgraph_exit:       + 14.862 us  |                  }
              dd-8376  [010]  1843.572844: funcgraph_exit:       + 19.934 us  |                }
              dd-8376  [010]  1843.572844: funcgraph_exit:       + 23.022 us  |              }
              dd-8376  [010]  1843.572845: funcgraph_entry:                   |              dnode_setdirty() {
              dd-8376  [010]  1843.572845: funcgraph_entry:                   |                dmu_objset_userquota_get_ids() {
              dd-8376  [010]  1843.572846: funcgraph_entry:                   |                  dmu_objset_userused_enabled() {
              dd-8376  [010]  1843.572846: funcgraph_entry:        0.420 us   |                    spa_version();
              dd-8376  [010]  1843.572848: funcgraph_exit:         1.786 us   |                  }
              dd-8376  [010]  1843.572848: funcgraph_exit:         2.893 us   |                }
              dd-8376  [010]  1843.572849: funcgraph_entry:        0.519 us   |                dnode_add_ref();
              dd-8376  [010]  1843.572850: funcgraph_entry:                   |                dbuf_dirty() {
              dd-8376  [010]  1843.572850: funcgraph_entry:        0.427 us   |                  zrl_add();
              dd-8376  [010]  1843.572851: funcgraph_entry:                   |                  dnode_willuse_space() {
              dd-8376  [010]  1843.572852: funcgraph_entry:        0.410 us   |                    spa_get_asize();
              dd-8376  [010]  1843.572853: funcgraph_entry:                   |                    dsl_dir_willuse_space() {
              dd-8376  [010]  1843.572853: funcgraph_entry:                   |                      dsl_dir_dirty() {
              dd-8376  [010]  1843.572854: funcgraph_entry:        0.583 us   |                        txg_list_add();
              dd-8376  [010]  1843.572855: funcgraph_entry:        0.552 us   |                        dmu_buf_add_ref();
              dd-8376  [010]  1843.572856: funcgraph_exit:         2.466 us   |                      }
              dd-8376  [010]  1843.572856: funcgraph_exit:         3.484 us   |                    }
              dd-8376  [010]  1843.572857: funcgraph_entry:        0.412 us   |                    dmu_tx_pool();
              dd-8376  [010]  1843.572858: funcgraph_entry:        0.793 us   |                    dsl_pool_dirty_space();
              dd-8376  [010]  1843.572859: funcgraph_entry:        0.409 us   |                    dmu_tx_willuse_space();
              dd-8376  [010]  1843.572860: funcgraph_exit:         8.206 us   |                  }
              dd-8376  [010]  1843.572860: funcgraph_entry:                   |                  dsl_dataset_block_freeable() {
              dd-8376  [010]  1843.572861: funcgraph_entry:                   |                    dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572861: funcgraph_entry:        0.406 us   |                      spa_last_synced_txg();
              dd-8376  [010]  1843.572862: funcgraph_exit:         1.282 us   |                    }
              dd-8376  [010]  1843.572862: funcgraph_entry:        0.506 us   |                    ddt_prefetch();
              dd-8376  [010]  1843.572863: funcgraph_exit:         2.998 us   |                  }
              dd-8376  [010]  1843.572864: funcgraph_entry:        0.520 us   |                  dnode_clear_range();
              dd-8376  [010]  1843.572865: funcgraph_entry:        0.453 us   |                  dmu_buf_add_ref();
              dd-8376  [010]  1843.572866: funcgraph_entry:                   |                  bp_get_dsize() {
              dd-8376  [010]  1843.572867: funcgraph_entry:        0.509 us   |                    spa_config_enter();
              dd-8376  [010]  1843.572868: funcgraph_entry:                   |                    dva_get_dsize_sync() {
              dd-8376  [010]  1843.572868: funcgraph_entry:        0.417 us   |                      vdev_lookup_top();
              dd-8376  [010]  1843.572869: funcgraph_exit:         1.320 us   |                    }
              dd-8376  [010]  1843.572870: funcgraph_entry:                   |                    dva_get_dsize_sync() {
              dd-8376  [010]  1843.572870: funcgraph_entry:        0.410 us   |                      vdev_lookup_top();
              dd-8376  [010]  1843.572871: funcgraph_exit:         1.276 us   |                    }
              dd-8376  [010]  1843.572871: funcgraph_entry:        0.419 us   |                    dva_get_dsize_sync();
              dd-8376  [010]  1843.572872: funcgraph_entry:        0.573 us   |                    spa_config_exit();
              dd-8376  [010]  1843.572873: funcgraph_exit:         6.621 us   |                  }
              dd-8376  [010]  1843.572873: funcgraph_entry:        0.420 us   |                  ddt_prefetch();
