version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-23934 [007] 63346.344606: funcgraph_entry:        3.848 us   |  zpl_show_options();
       trace-cmd-23935 [008] 63346.344678: funcgraph_entry:        2.942 us   |  zpl_show_options();
           zpool-23936 [010] 63346.346761: funcgraph_entry:                   |  zfsdev_open() {
           zpool-23936 [010] 63346.346763: funcgraph_entry:        1.250 us   |    zfsdev_minor_alloc();
           zpool-23936 [010] 63346.346765: funcgraph_entry:        1.795 us   |    zfs_onexit_init();
           zpool-23936 [010] 63346.346768: funcgraph_entry:        0.716 us   |    zfs_zevent_init();
           zpool-23936 [010] 63346.346769: funcgraph_exit:         8.542 us   |  }
           zpool-23936 [010] 63346.346810: funcgraph_entry:                   |  zfsdev_open() {
           zpool-23936 [010] 63346.346811: funcgraph_entry:        0.520 us   |    zfsdev_minor_alloc();
           zpool-23936 [010] 63346.346812: funcgraph_entry:        0.783 us   |    zfs_onexit_init();
           zpool-23936 [010] 63346.346813: funcgraph_entry:        0.580 us   |    zfs_zevent_init();
           zpool-23936 [010] 63346.346814: funcgraph_exit:         4.231 us   |  }
           zpool-23936 [010] 63346.347076: funcgraph_entry:                   |  zfsdev_ioctl() {
           zpool-23936 [010] 63346.347086: funcgraph_entry:        0.539 us   |    pool_status_check();
           zpool-23936 [010] 63346.347087: funcgraph_entry:        0.490 us   |    zfs_secpolicy_read();
           zpool-23936 [010] 63346.347089: funcgraph_entry:                   |    zfs_ioc_pool_stats() {
           zpool-23936 [010] 63346.347090: funcgraph_entry:                   |      spa_get_stats() {
           zpool-23936 [010] 63346.347090: funcgraph_entry:                   |        spa_open_common() {
           zpool-23936 [010] 63346.347091: funcgraph_entry:                   |          spa_lookup() {
           zpool-23936 [010] 63346.347093: funcgraph_entry:        0.657 us   |            spa_name_compare();
           zpool-23936 [010] 63346.347094: funcgraph_exit:         2.595 us   |          }
           zpool-23936 [010] 63346.347094: funcgraph_entry:        0.543 us   |          spa_open_ref();
           zpool-23936 [010] 63346.347095: funcgraph_entry:                   |          spa_config_generate() {
           zpool-23936 [010] 63346.347096: funcgraph_entry:        0.876 us   |            spa_config_enter();
           zpool-23936 [010] 63346.347098: funcgraph_entry:        0.406 us   |            spa_name();
           zpool-23936 [010] 63346.347100: funcgraph_entry:        0.499 us   |            spa_version();
           zpool-23936 [010] 63346.347104: funcgraph_entry:        0.413 us   |            spa_state();
           zpool-23936 [010] 63346.347105: funcgraph_entry:                   |            spa_guid() {
           zpool-23936 [010] 63346.347106: funcgraph_entry:                   |              dsl_pool_sync_context() {
           zpool-23936 [010] 63346.347107: funcgraph_entry:        0.427 us   |                spa_is_initializing();
           zpool-23936 [010] 63346.347108: funcgraph_exit:         1.512 us   |              }
           zpool-23936 [010] 63346.347108: funcgraph_exit:         2.653 us   |            }
           zpool-23936 [010] 63346.347111: funcgraph_entry:        1.899 us   |            vdev_top_config_generate();
           zpool-23936 [010] 63346.347113: funcgraph_entry:                   |            vdev_config_generate() {
           zpool-23936 [010] 63346.347117: funcgraph_entry:                   |              vdev_get_stats() {
           zpool-23936 [010] 63346.347118: funcgraph_entry:        0.450 us   |                vdev_get_min_asize();
           zpool-23936 [010] 63346.347119: funcgraph_exit:         2.432 us   |              }
